input_quant,temp,material_pressure,material_temp,exit_zone_temp,motor_amperage,motor_RPM,output_quality
12.895,24.0,123.81,177.6,57.2,71.87,11.03,7.631
11.689,24.1,124.273,178.3,57.0,71.17,11.03,3.188
13.058,24.0,123.97,155.7,52.4,74.78,11.05,5.817
12.823,24.0,124.463,153.3,53.3,70.5,11.03,4.642
13.152,23.9,123.919,157.9,54.1,68.63,11.03,5.874
13.169,24.1,124.539,154.9,53.0,69.73,11.02,4.436
13.192,23.8,123.944,187.8,60.4,71.64,11.05,7.954
13.189,24.1,123.753,159.4,54.5,69.87,11.03,6.499
13.126,24.0,123.798,154.5,53.7,70.44,11.04,6.199
12.944,24.1,123.775,156.1,52.9,70.36,11.03,6.565
12.754,24.0,123.658,183.2,60.3,70.6,11.04,8.726
12.922,24.0,124.287,157.7,52.9,70.31,11.05,5.269
13.3,24.1,123.869,163.5,57.0,72.74,11.04,6.209
12.724,24.2,123.623,163.0,53.4,72.66,11.05,7.565
12.809,24.0,124.344,165.5,52.9,71.43,11.08,5.954
12.827,23.9,124.482,164.9,54.5,74.83,11.04,5.463
12.675,24.3,123.793,153.4,50.2,72.87,11.04,6.771
12.713,24.2,124.331,174.5,55.1,72.73,11.05,6.184
13.08,24.0,124.371,162.2,54.2,69.47,11.04,5.501
13.129,24.1,124.226,152.7,52.2,71.11,11.04,5.063
13.043,24.1,124.042,163.1,55.3,72.42,11.05,6.74
13.011,24.2,123.645,154.4,53.9,74.15,11.08,6.317
12.826,23.8,123.907,153.5,50.7,71.65,11.07,6.428
12.724,23.9,124.255,140.5,52.1,72.36,11.07,3.62
13.168,24.0,123.939,158.8,53.4,71.95,11.06,5.951
13.192,23.9,123.734,159.0,52.4,73.06,11.06,6.995
13.238,24.0,124.328,162.6,53.0,71.67,11.07,5.369
12.556,24.0,124.07,164.7,59.0,72.08,11.06,5.683
12.881,24.0,124.356,177.5,54.5,71.24,11.08,6.538
13.069,24.0,123.747,171.9,54.7,73.11,11.05,8.038
12.191,24.0,124.104,156.6,52.1,70.64,11.07,4.828
12.941,23.8,124.266,158.9,49.2,71.96,11.07,5.924
12.885,24.0,124.187,162.8,56.2,71.36,11.06,5.797
13.145,23.9,124.482,164.0,54.6,76.53,11.09,5.164
12.972,24.1,124.561,159.5,55.4,71.48,11.09,4.722
13.109,23.9,124.074,150.1,49.5,74.27,11.08,5.103
12.116,24.1,123.991,163.0,53.3,70.71,11.08,5.047
12.939,24.0,124.368,164.9,54.4,74.33,11.08,6.454
12.647,24.1,123.744,159.6,52.4,73.08,11.08,6.819
11.983,23.8,124.099,170.7,57.7,71.64,11.07,4.666
13.011,24.2,123.691,163.4,53.3,69.95,11.09,7.579
13.286,23.9,124.549,170.8,58.0,68.88,11.07,4.858
13.111,24.0,124.458,156.1,53.5,71.67,11.09,5.278
13.091,24.0,124.345,169.2,55.7,71.53,11.09,5.994
11.927,24.0,123.953,165.8,52.6,71.46,11.09,5.336
12.987,23.9,124.29,182.3,59.9,72.98,11.11,7.029
12.826,23.9,124.173,160.1,52.6,72.64,11.08,6.29
12.715,23.8,124.061,155.2,53.7,70.87,11.09,5.333
13.31,24.0,123.994,172.9,55.5,71.42,11.08,7.111
12.198,24.0,124.047,165.4,53.0,69.1,11.09,5.881
12.758,24.0,123.828,169.1,57.0,69.87,11.1,7.124
13.24,24.0,124.368,185.2,56.3,71.26,11.09,6.561
12.332,24.2,124.231,173.5,54.2,72.59,11.09,6.029
13.077,23.8,124.357,172.6,56.3,72.06,11.08,6.772
11.601,23.7,124.347,161.1,55.7,76.39,11.1,1.223
12.911,24.1,123.723,154.9,51.8,71.93,11.08,6.629
13.044,24.0,124.315,171.2,57.2,75.16,11.09,5.875
12.73,24.1,124.326,169.9,54.9,72.18,11.1,5.783
12.863,23.9,123.75,164.2,55.1,70.86,11.1,7.319
13.116,23.9,124.391,167.9,52.4,73.69,11.11,6.616
13.166,24.1,123.795,170.3,55.5,73.5,11.11,7.191
12.768,23.9,123.628,162.0,54.3,71.31,11.08,7.489
12.797,24.1,124.315,166.9,53.5,74.19,11.1,6.283
13.236,24.1,124.328,160.8,54.3,72.4,11.11,5.466
13.071,24.2,123.801,160.5,55.7,74.33,11.12,6.94
13.215,23.9,123.596,166.8,57.2,73.29,11.1,7.39
12.898,24.2,123.852,174.2,57.2,73.77,11.11,7.915
12.383,24.0,123.804,161.4,53.0,71.14,11.11,6.922
13.189,23.9,124.529,156.2,55.5,71.07,11.11,4.469
12.972,24.0,123.887,172.5,58.3,69.56,11.11,7.742
13.446,23.8,124.19,164.5,53.0,68.73,11.1,5.515
13.118,23.8,124.468,149.0,52.1,72.59,11.12,4.199
13.399,24.1,124.535,161.4,56.6,69.82,11.11,4.32
12.408,24.0,124.115,167.4,56.2,73.47,11.12,6.022
13.004,24.1,124.289,149.3,51.7,73.7,11.12,4.935
12.606,23.9,123.806,180.1,59.6,73.69,11.11,8.503
12.902,23.9,124.212,158.1,52.2,75.42,11.13,5.445
12.884,24.1,124.375,151.3,52.6,72.71,11.11,4.612
13.244,24.1,123.841,170.8,55.7,72.55,11.14,7.597
12.75,23.7,124.547,166.4,55.7,70.65,11.12,5.787
12.804,24.0,124.218,166.5,55.3,72.61,11.12,6.211
12.987,24.0,123.856,160.5,50.7,72.46,11.12,7.308
12.962,24.1,124.408,148.0,49.2,74.7,11.13,4.262
12.437,24.2,123.962,179.0,58.4,70.43,11.14,7.62
12.961,23.9,124.421,158.8,52.2,71.43,11.11,5.148
12.559,24.0,124.048,170.1,54.8,69.17,11.12,6.851
12.69,23.9,123.685,167.0,57.3,75.21,11.13,7.304
13.181,23.9,123.816,170.6,54.4,70.68,11.13,6.796
12.912,24.1,124.124,171.5,55.0,71.21,11.13,6.913
12.437,24.2,124.331,176.9,53.7,71.45,11.13,7.437
12.65,23.9,123.606,171.7,56.3,72.01,11.14,7.583
12.696,23.9,123.657,164.3,57.2,70.85,11.14,7.266
13.012,24.0,124.292,174.9,53.9,71.45,11.13,6.878
12.839,24.0,124.189,175.7,57.3,74.3,11.13,7.389
12.939,24.0,123.777,184.8,60.1,75.27,11.13,8.537
13.174,24.0,124.29,158.2,53.3,72.15,11.14,5.231
12.065,24.2,124.018,152.3,52.0,71.11,11.14,4.14
12.663,24.0,123.751,146.4,50.1,73.05,11.15,6.021
12.657,24.0,123.832,151.0,50.8,71.42,11.14,6.294
12.89,23.9,124.043,151.0,54.8,72.13,11.14,5.75
12.16,24.0,123.847,166.4,56.5,70.83,11.17,5.782
13.153,23.9,124.47,164.6,56.0,70.78,11.13,5.578
12.669,24.0,123.929,164.3,54.2,74.34,11.16,6.627
12.938,23.9,124.066,161.1,54.5,70.68,11.14,6.049
12.94,24.1,124.46,156.3,52.9,72.92,11.13,5.381
12.468,23.9,124.337,173.7,55.9,71.99,11.14,6.22
13.393,23.9,123.681,160.5,51.9,69.86,11.16,6.983
12.721,24.1,124.367,160.5,55.8,73.04,11.14,5.23
13.247,23.9,124.392,154.6,53.6,74.18,11.15,4.124
12.841,23.9,124.353,163.7,52.8,71.61,11.14,5.654
12.659,24.1,124.294,162.7,56.9,71.45,11.15,5.66
12.983,24.0,124.105,177.5,59.0,72.55,11.15,7.878
13.252,24.0,124.358,167.7,54.9,70.51,11.14,5.972
11.827,24.0,123.734,160.6,54.0,72.47,11.14,4.599
12.979,24.0,124.155,175.0,58.2,74.41,11.18,7.029
12.281,23.9,124.212,175.7,59.2,71.48,11.18,5.596
13.058,24.0,123.61,183.1,58.6,71.19,11.16,9.279
12.807,24.2,124.253,154.8,53.1,73.45,11.15,5.475
12.649,24.0,123.823,180.2,58.1,71.58,11.15,7.848
12.79,24.1,123.722,158.0,52.4,75.12,11.15,6.789
13.164,24.0,123.969,167.2,54.5,71.87,11.17,7.31
13.369,23.9,124.266,157.7,52.5,73.61,11.18,4.789
13.014,24.1,124.135,165.5,53.8,72.23,11.16,6.625
12.573,24.0,123.954,173.1,54.0,71.59,11.15,7.501
13.014,24.0,124.03,176.9,58.7,71.67,11.15,7.371
13.072,23.9,124.177,140.4,48.3,71.89,11.17,3.914
12.999,24.1,124.383,171.2,55.0,77.15,11.18,6.594
11.967,24.0,123.622,181.1,58.7,70.59,11.16,6.888
12.68,24.2,124.168,167.3,53.7,71.5,11.17,6.73
13.166,24.0,124.46,162.5,54.5,72.66,11.17,5.535
11.98,23.8,124.29,164.4,55.2,73.65,11.18,3.424
12.959,23.9,124.369,143.2,48.3,69.93,11.17,5.212
13.29,24.1,123.596,162.1,55.2,72.82,11.17,7.809
12.821,24.0,123.688,164.9,54.5,72.04,11.18,7.845
13.184,23.8,123.788,189.9,59.0,69.82,11.17,8.861
12.597,24.1,123.711,167.3,54.5,74.47,11.19,7.354
13.064,23.9,124.428,166.1,54.6,73.87,11.19,5.913
12.911,23.8,124.001,176.1,59.1,71.61,11.15,8.009
11.808,24.0,124.463,159.7,54.8,72.6,11.17,2.07
12.911,23.9,123.817,167.5,55.6,72.86,11.18,7.531
12.935,24.0,123.733,176.4,54.4,71.49,11.19,8.772
12.875,24.0,123.631,169.7,55.7,73.62,11.17,8.413
12.928,24.1,123.85,157.9,53.8,70.11,11.17,6.722
13.187,23.9,124.128,168.8,55.1,72.79,11.19,7.454
12.565,24.0,123.671,177.3,57.7,72.25,11.19,8.125
13.245,24.0,123.826,157.7,51.1,71.43,11.17,6.217
13.152,24.1,124.143,161.0,54.8,71.33,11.19,6.234
12.544,24.1,124.086,166.9,55.6,71.02,11.19,5.922
12.821,24.0,124.315,146.8,51.0,70.98,11.18,4.582
12.938,24.0,124.274,164.0,53.7,73.17,11.2,6.027
12.685,24.0,124.156,165.0,54.8,70.82,11.18,6.129
13.171,24.1,123.7,168.5,56.2,73.13,11.19,7.595
12.645,24.0,124.355,160.0,53.3,72.58,11.19,5.164
12.59,24.1,124.5,160.3,55.3,72.31,11.2,4.739
13.449,24.1,123.742,143.8,50.9,71.63,11.18,5.231
13.003,23.9,124.434,163.7,53.7,69.48,11.2,5.343
12.965,24.1,124.19,166.4,54.6,72.46,11.19,6.79
11.655,24.0,124.253,160.3,54.9,70.66,11.22,1.874
11.958,24.0,123.87,156.8,53.6,71.48,11.19,4.701
12.981,24.0,123.69,180.9,56.8,71.23,11.2,8.877
11.965,24.0,124.552,159.4,53.9,70.94,11.22,3.025
13.394,23.8,124.465,148.7,50.4,71.06,11.19,3.803
12.342,24.0,124.462,176.5,55.9,72.94,11.2,5.664
13.025,24.1,123.981,165.4,56.8,73.75,11.2,6.244
12.924,24.0,124.044,163.6,55.8,72.96,11.2,6.325
13.027,23.9,123.745,163.7,53.2,72.58,11.22,7.434
12.633,24.2,123.809,150.5,51.8,71.19,11.21,5.998
13.296,24.0,123.608,172.4,56.2,71.53,11.2,7.655
13.388,24.0,124.09,174.5,53.4,73.69,11.21,7.433
13.231,24.0,124.499,156.2,49.3,71.44,11.22,5.001
13.158,24.2,124.544,163.0,53.9,70.24,11.22,5.47
13.212,24.0,123.97,167.0,56.7,69.26,11.21,7.324
11.993,23.9,123.604,166.9,56.1,71.12,11.21,5.962
12.564,24.2,124.507,175.1,54.0,70.98,11.2,6.188
12.783,24.0,124.054,168.4,55.1,74.19,11.22,7.339
13.137,24.0,124.504,162.3,55.2,73.73,11.2,5.478
13.002,23.9,123.57,159.1,51.0,71.7,11.22,7.678
12.067,24.0,123.825,180.5,58.6,73.1,11.23,7.145
12.674,24.0,123.571,156.8,49.5,70.58,11.23,6.81
12.079,24.1,124.151,167.4,57.7,71.24,11.22,5.057
13.075,24.1,123.965,154.8,50.7,74.02,11.22,6.058
13.375,23.9,123.931,158.0,53.9,72.79,11.23,6.075
13.006,24.0,123.841,174.1,57.2,73.24,11.23,7.155
12.911,24.1,124.093,175.4,59.2,73.87,11.22,6.419
12.951,23.9,124.072,165.2,56.5,71.53,11.23,6.013
12.771,24.0,124.037,148.8,50.9,72.41,11.23,5.759
13.146,24.0,124.39,167.9,56.5,70.73,11.21,6.224
13.32,24.1,124.524,173.9,55.3,70.83,11.25,6.062
13.101,23.9,124.207,172.1,55.9,75.98,11.21,6.913
12.14,24.0,123.739,175.0,58.9,72.21,11.23,7.008
12.906,24.0,123.891,157.6,52.5,71.72,11.23,6.582
13.431,24.1,123.892,151.9,52.5,72.79,11.24,5.606
13.091,24.2,123.792,163.3,52.6,69.25,11.23,6.612
13.127,24.0,124.456,171.1,55.1,73.54,11.22,5.907
12.883,24.2,123.568,162.6,54.7,72.06,11.22,7.502
13.02,24.0,123.655,168.2,56.4,71.3,11.24,8.447
13.141,24.1,124.363,159.1,51.7,72.68,11.22,5.644
13.034,23.9,124.428,159.7,52.5,70.25,11.24,4.981
13.002,24.1,124.366,157.2,52.2,71.32,11.24,5.289
12.92,24.1,124.549,175.6,56.1,70.04,11.24,5.916
13.108,24.0,124.198,166.8,56.4,71.9,11.22,6.204
13.203,24.0,124.536,153.2,53.3,69.89,11.23,4.334
13.194,24.1,123.596,162.9,52.5,70.68,11.26,7.411
13.406,24.0,123.742,165.5,58.4,69.54,11.23,6.692
12.883,24.1,123.944,152.2,51.9,70.96,11.24,5.9
12.906,24.0,124.116,176.7,54.2,70.79,11.24,7.657
12.894,24.1,124.507,168.0,57.1,71.26,11.25,5.386
13.0,24.1,123.856,161.3,53.0,72.38,11.25,6.878
13.437,23.9,124.523,161.2,53.4,70.18,11.25,4.936
12.178,24.0,123.869,170.6,58.7,72.43,11.24,5.983
12.557,24.1,124.288,172.3,54.4,73.61,11.25,6.523
13.342,24.0,124.047,164.5,57.0,72.19,11.26,5.753
13.296,24.1,124.206,176.7,58.3,70.36,11.26,7.237
13.112,24.2,124.137,157.5,53.7,71.04,11.26,5.692
13.261,23.8,124.297,144.6,53.6,71.39,11.27,3.472
12.411,24.1,123.986,161.4,53.6,73.14,11.25,5.885
11.875,23.8,123.589,159.7,54.7,70.73,11.27,5.102
13.276,23.9,123.911,161.9,52.0,72.36,11.25,6.69
12.513,24.1,124.491,172.1,56.8,70.81,11.23,5.637
13.093,24.0,124.521,157.0,54.1,73.42,11.26,4.722
13.048,24.0,123.878,157.1,54.1,72.76,11.25,6.392
11.935,24.0,123.699,171.6,55.1,70.73,11.24,6.309
12.877,24.0,124.109,174.1,55.3,76.31,11.25,7.178
13.015,23.9,124.471,167.1,56.6,74.61,11.25,5.27
12.779,24.0,123.603,149.0,54.4,69.79,11.28,5.861
13.31,24.0,123.989,153.3,50.8,71.03,11.25,5.491
13.272,24.1,124.515,141.7,49.8,70.13,11.27,3.543
12.88,24.1,123.584,162.4,52.7,69.71,11.26,7.329
12.045,24.2,124.235,168.3,56.8,76.37,11.28,4.684
12.8,24.0,124.014,159.3,54.4,73.01,11.29,5.859
12.88,24.1,124.277,177.7,56.5,72.49,11.28,6.744
12.989,24.1,124.272,159.5,52.4,73.22,11.26,5.589
12.745,23.9,124.136,163.8,55.7,74.11,11.27,5.759
13.214,24.1,124.112,162.8,55.7,71.7,11.25,5.897
12.491,24.1,123.809,170.2,55.3,68.67,11.27,7.24
12.425,23.9,124.56,173.9,59.9,69.0,11.26,5.195
13.09,24.1,123.952,168.1,55.4,73.31,11.29,7.71
13.34,24.0,123.603,164.4,54.9,73.22,11.26,7.068
13.149,24.2,124.228,171.8,56.1,74.29,11.28,6.225
12.701,24.2,124.153,169.1,55.4,71.79,11.26,6.844
12.491,24.0,124.478,147.9,49.9,69.31,11.27,4.304
12.731,24.1,123.772,163.6,55.4,70.71,11.25,7.07
12.795,24.0,124.456,156.2,54.6,69.82,11.26,4.643
13.241,24.0,124.294,174.7,56.9,71.1,11.28,6.272
12.891,23.9,124.43,166.5,54.3,70.57,11.28,6.194
12.922,24.1,123.575,164.8,54.9,70.62,11.28,7.913
12.872,23.9,123.63,155.1,54.0,71.72,11.26,6.671
12.963,24.2,123.608,165.5,53.5,73.85,11.29,7.4
12.86,24.1,123.602,154.1,53.9,71.32,11.26,6.759
12.724,24.0,123.917,153.5,54.5,70.81,11.29,6.416
12.863,23.9,123.88,143.5,49.3,71.04,11.3,5.456
12.787,24.0,123.716,151.3,52.0,71.48,11.29,6.059
11.776,23.9,123.907,158.9,53.1,72.94,11.3,4.261
12.021,24.0,123.779,162.2,54.5,70.51,11.29,5.357
12.607,23.9,124.243,174.2,56.8,73.24,11.28,6.839
12.933,23.8,123.654,158.8,57.3,71.81,11.31,6.759
13.555,24.1,124.479,168.3,55.3,70.97,11.29,5.312
13.079,23.9,124.041,149.2,52.6,71.56,11.29,5.484
12.739,23.9,124.315,154.5,53.3,74.08,11.3,5.476
13.0,24.2,124.476,156.7,53.7,74.58,11.29,5.624
13.235,24.2,124.408,166.0,54.6,70.12,11.32,5.548
13.082,24.0,124.019,167.9,51.3,73.73,11.29,7.638
12.909,24.0,124.078,166.3,55.3,69.48,11.3,5.956
13.164,24.0,124.1,172.6,55.8,73.72,11.29,6.364
11.891,24.0,124.55,149.0,54.1,71.05,11.27,1.748
11.658,24.0,124.326,153.0,50.9,72.37,11.31,1.63
12.422,24.0,123.761,160.3,53.6,69.25,11.31,6.531
13.28,24.1,124.0,161.6,55.2,74.46,11.31,6.725
13.018,24.1,124.143,143.8,50.3,73.95,11.31,4.893
13.239,24.2,124.28,145.0,52.3,70.85,11.3,4.676
12.346,24.1,124.085,155.6,53.3,72.03,11.3,4.59
13.041,24.1,123.844,179.4,58.4,70.01,11.31,7.682
12.916,24.1,123.904,168.9,54.2,72.86,11.31,7.082
12.927,24.0,124.402,153.6,54.5,72.03,11.31,4.772
12.825,24.0,124.346,162.2,56.3,73.97,11.31,5.632
12.868,24.0,123.999,154.9,53.8,70.56,11.32,5.684
13.517,24.0,124.308,150.0,50.5,73.51,11.3,3.901
12.983,24.1,123.737,160.1,54.1,70.9,11.33,7.642
13.039,24.0,124.157,168.9,53.6,72.84,11.32,7.063
13.119,24.0,123.71,175.0,57.3,70.95,11.3,7.788
13.373,24.0,123.747,171.6,55.4,72.05,11.32,7.646
12.933,24.1,124.417,162.3,55.3,71.47,11.32,5.42
12.863,24.0,124.517,149.5,52.8,71.54,11.32,3.975
12.891,23.9,124.08,163.9,52.8,71.19,11.34,6.881
12.962,24.1,123.835,146.5,50.7,70.94,11.32,5.64
12.101,24.1,124.032,175.6,55.6,71.83,11.33,6.115
12.633,24.2,124.491,165.0,56.1,71.42,11.31,4.857
12.849,23.9,123.871,184.6,60.4,74.06,11.33,8.429
12.91,24.1,124.264,165.4,56.8,72.44,11.33,5.871
13.21,24.1,123.653,171.1,55.2,72.55,11.31,7.561
12.983,23.9,124.385,174.9,56.7,72.62,11.34,6.692
13.187,24.1,123.895,155.2,53.8,71.73,11.32,5.647
12.932,24.0,124.389,153.0,55.1,70.91,11.33,4.743
12.904,24.2,123.773,175.0,60.1,75.35,11.33,7.49
12.264,23.9,123.945,180.3,56.1,70.9,11.34,7.248
13.12,23.9,123.758,169.0,56.5,73.1,11.32,7.362
12.969,24.0,124.065,165.7,55.2,71.53,11.31,7.131
13.269,24.2,124.38,158.6,58.3,73.28,11.33,3.998
12.94,23.7,124.133,171.9,57.4,72.97,11.32,6.878
12.92,24.1,123.609,166.4,55.3,77.61,11.34,7.988
12.654,24.0,124.159,167.9,55.3,72.38,11.33,5.978
12.031,24.1,124.1,159.9,53.7,73.7,11.34,4.222
13.06,24.0,123.692,158.1,54.1,72.73,11.35,7.255
13.062,24.1,123.855,175.5,56.5,69.88,11.35,7.456
13.072,24.2,124.417,162.0,56.3,75.25,11.34,4.882
13.06,24.2,124.203,178.9,62.6,72.66,11.35,7.353
13.07,24.0,123.991,170.3,56.4,69.21,11.36,7.489
12.796,24.2,124.153,188.3,58.3,70.71,11.34,8.46
12.962,24.0,123.6,154.5,52.7,71.88,11.36,7.056
12.761,24.0,123.989,140.3,48.9,72.3,11.34,4.911
12.865,24.1,124.421,165.9,53.7,71.82,11.32,5.658
12.77,24.0,124.279,181.6,55.5,71.81,11.34,8.21
13.08,24.0,124.053,162.8,53.8,69.74,11.35,6.113
12.919,24.1,123.703,156.5,53.8,72.88,11.35,6.95
12.741,24.1,124.226,167.4,56.1,75.08,11.35,5.855
12.894,24.0,124.175,159.1,53.3,72.96,11.36,5.706
13.02,23.9,123.982,162.1,53.5,69.67,11.34,6.399
11.843,23.8,124.264,144.4,51.7,71.86,11.34,2.51
12.952,24.0,123.97,157.7,52.7,71.57,11.35,6.529
12.774,24.0,124.116,159.2,54.7,70.12,11.35,5.497
13.465,24.0,123.618,140.1,47.7,69.37,11.34,5.441
13.124,24.0,124.204,160.4,52.5,72.79,11.37,6.201
12.978,24.1,123.826,166.7,52.9,73.2,11.35,7.684
12.993,24.2,124.189,159.2,53.6,71.96,11.37,5.913
12.786,24.2,124.231,157.6,54.8,74.04,11.36,5.407
12.96,23.8,123.766,159.5,53.4,71.2,11.36,6.862
13.296,24.0,124.299,161.0,50.6,75.44,11.36,5.308
12.626,24.0,124.311,146.1,52.7,70.2,11.36,4.54
11.819,24.1,123.849,159.6,57.1,69.09,11.37,3.249
13.216,24.0,124.294,173.9,57.8,73.58,11.35,6.117
12.889,24.0,124.251,169.4,53.6,75.42,11.36,7.487
13.208,24.0,124.189,170.0,54.1,70.45,11.36,6.797
12.945,23.8,124.157,147.3,49.4,70.61,11.35,4.714
13.092,24.0,123.679,153.0,53.2,73.0,11.36,6.676
13.323,24.0,124.363,160.9,55.0,79.15,11.38,5.276
13.017,24.1,123.882,151.2,53.0,72.15,11.37,6.156
13.135,24.0,123.633,162.0,53.3,72.33,11.36,7.191
12.492,24.1,124.323,168.9,56.4,73.43,11.37,5.654
13.205,24.0,124.14,150.0,51.1,71.83,11.35,4.954
13.161,23.9,123.627,161.8,55.1,70.56,11.39,7.581
12.865,24.0,124.373,159.4,54.3,70.15,11.36,4.485
12.828,24.1,124.47,181.2,56.8,73.02,11.37,7.101
13.138,23.9,123.779,160.6,49.8,72.53,11.36,7.493
12.86,23.9,123.786,163.5,54.6,72.98,11.37,6.678
12.37,23.9,123.907,158.4,50.8,71.18,11.37,6.124
12.914,24.2,124.265,163.2,54.3,74.52,11.38,5.874
12.671,24.1,123.811,158.5,52.3,70.78,11.38,7.166
12.453,24.0,124.44,158.5,53.5,72.26,11.37,4.636
12.987,24.0,124.069,164.9,53.8,71.14,11.37,7.096
13.073,24.1,123.609,174.2,57.2,69.85,11.38,8.074
13.307,24.0,124.431,150.6,52.2,70.97,11.39,3.976
13.108,24.1,123.592,155.2,55.3,72.8,11.38,6.821
13.376,24.1,124.296,160.9,54.6,72.46,11.39,5.762
12.1,24.1,124.412,165.7,54.0,70.65,11.4,4.318
13.045,24.0,123.942,173.0,56.8,70.47,11.37,7.59
12.725,24.1,124.505,165.4,54.1,71.29,11.37,5.488
12.823,24.0,124.09,164.3,54.6,70.97,11.4,6.568
12.85,24.1,124.163,155.4,50.6,71.81,11.4,6.315
11.957,24.1,124.29,163.6,56.5,71.77,11.38,3.598
13.018,23.9,124.096,176.4,56.4,70.43,11.4,7.685
12.809,24.0,124.047,165.7,54.6,76.21,11.38,6.395
12.442,24.1,123.809,173.3,53.3,71.75,11.39,7.805
12.26,24.1,124.451,161.5,56.6,71.81,11.39,3.414
13.083,23.9,124.393,174.0,56.9,69.83,11.4,6.236
12.842,24.0,123.995,163.7,54.7,71.08,11.38,7.227
13.326,24.0,124.037,171.4,57.0,69.43,11.4,6.637
13.176,24.1,123.854,154.2,54.7,71.91,11.41,6.102
13.092,23.9,123.667,180.8,58.6,73.12,11.39,8.872
13.081,24.1,124.485,171.1,52.8,69.85,11.41,5.888
11.705,24.0,124.275,163.8,53.4,72.13,11.4,2.89
12.983,24.0,124.326,154.0,52.4,74.08,11.38,5.177
13.048,24.0,124.087,172.4,55.4,73.26,11.4,6.806
13.131,24.1,123.854,159.7,54.0,72.14,11.4,6.445
12.969,24.1,123.725,150.9,51.2,70.76,11.4,6.298
12.785,24.1,124.178,169.6,56.9,74.97,11.41,6.585
13.079,24.0,124.116,153.2,52.8,72.77,11.37,5.68
12.978,24.2,123.835,166.3,54.7,74.72,11.41,7.127
12.812,24.1,124.322,185.0,61.1,69.78,11.4,6.526
12.939,23.7,124.062,165.8,55.2,73.44,11.4,6.622
13.068,24.3,124.14,178.6,60.2,72.67,11.41,6.966
12.938,24.1,124.468,159.7,54.0,71.32,11.41,5.559
13.416,24.1,123.971,151.2,51.8,76.77,11.43,5.37
12.824,24.3,124.1,168.1,56.5,71.43,11.42,6.57
13.132,24.1,124.445,180.4,55.1,74.63,11.41,7.017
11.952,24.2,124.242,154.1,51.6,69.84,11.41,2.903
13.317,24.0,123.568,155.0,56.8,72.87,11.4,5.741
12.137,24.2,124.554,160.3,49.4,72.99,11.42,3.782
12.986,24.0,123.755,160.0,54.5,72.65,11.44,7.03
12.802,24.0,123.618,161.4,52.8,72.52,11.41,7.921
12.71,23.9,123.882,166.2,54.3,69.59,11.41,7.732
12.707,24.0,123.774,183.6,57.3,69.82,11.43,9.111
13.11,24.3,124.54,161.3,55.4,71.61,11.42,4.805
12.767,23.8,123.735,171.3,57.0,72.43,11.41,7.597
12.794,24.1,123.869,174.4,56.3,75.19,11.43,7.516
